share_layer,sharing_weight,task,metric,percentage_rate
Share first layer,0.5,cause_predict,F1 Score,0.5426
Share first layer,0.5,pair_predict,Precision,0.5355
Share first layer,0.5,pair_predict,Recall,0.5059
Share first layer,0.5,pair_predict,F1 Score,0.5184
Share first layer,0.6,emotion_predict,Precision,0.7516
Share first layer,0.6,emotion_predict,Recall,0.6536
Share first layer,0.6,emotion_predict,F1 Score,0.6968
Share first layer,0.6,cause_predict,Precision,0.6896
Share first layer,0.6,cause_predict,Recall,0.4637
Share first layer,0.6,cause_predict,F1 Score,0.5522
Share first layer,0.6,pair_predict,Precision,0.5516
Share first layer,0.6,pair_predict,Recall,0.4935
Share first layer,0.6,pair_predict,F1 Score,0.5182
Share first layer,0.7,emotion_predict,Precision,0.7427
Share first layer,0.7,emotion_predict,Recall,0.657
Share first layer,0.7,emotion_predict,F1 Score,0.6953
Share first layer,0.7,cause_predict,Precision,0.6905
Share first layer,0.7,cause_predict,Recall,0.4584
Share first layer,0.7,cause_predict,F1 Score,0.5427
Share first layer,0.7,pair_predict,Precision,0.5515
Share first layer,0.7,pair_predict,Recall,0.4883
Share first layer,0.7,pair_predict,F1 Score,0.5163
Share first layer,0.8,emotion_predict,Precision,0.7633
Share first layer,0.8,emotion_predict,Recall,0.647
Share first layer,0.8,emotion_predict,F1 Score,0.6994
Share first layer,0.8,cause_predict,Precision,0.6941
Share first layer,0.8,cause_predict,Recall,0.4449
Share first layer,0.8,cause_predict,F1 Score,0.5373
Share first layer,0.8,pair_predict,Precision,0.5576
Share first layer,0.8,pair_predict,Recall,0.4807
Share first layer,0.8,pair_predict,F1 Score,0.5148
Share first layer,0.9,emotion_predict,Precision,0.7555
Share first layer,0.9,emotion_predict,Recall,0.6703
Share first layer,0.9,emotion_predict,F1 Score,0.7101
Share first layer,0.9,cause_predict,Precision,0.6938
Share first layer,0.9,cause_predict,Recall,0.4431
Share first layer,0.9,cause_predict,F1 Score,0.5373
Share first layer,0.9,pair_predict,Precision,0.5504
Share first layer,0.9,pair_predict,Recall,0.499
Share first layer,0.9,pair_predict,F1 Score,0.522
Share first layer,1,emotion_predict,Precision,0.7536
Share first layer,1,emotion_predict,Recall,0.6769
Share first layer,1,emotion_predict,F1 Score,0.7125
Share first layer,1,cause_predict,Precision,0.6971
Share first layer,1,cause_predict,Recall,0.4451
Share first layer,1,cause_predict,F1 Score,0.5405
Share first layer,1,pair_predict,Precision,0.5707
Share first layer,1,pair_predict,Recall,0.481
Share first layer,1,pair_predict,F1 Score,0.5201
Share first layer,0.1,emotion_predict,Precision,0.7713
Share first layer,0.1,emotion_predict,Recall,0.6565
Share first layer,0.1,emotion_predict,F1 Score,0.7087
Share first layer,0.1,cause_predict,Precision,0.6921
Share first layer,0.1,cause_predict,Recall,0.4562
Share first layer,0.1,cause_predict,F1 Score,0.5489
Share first layer,0.1,pair_predict,Precision,0.5527
Share first layer,0.1,pair_predict,Recall,0.4977
Share first layer,0.1,pair_predict,F1 Score,0.5226
Share first layer,0.2,emotion_predict,Precision,0.7466
Share first layer,0.2,emotion_predict,Recall,0.6668
Share first layer,0.2,emotion_predict,F1 Score,0.7031
Share first layer,0.2,cause_predict,Precision,0.694
Share first layer,0.2,cause_predict,Recall,0.4536
Share first layer,0.2,cause_predict,F1 Score,0.546
Share first layer,0.2,pair_predict,Precision,0.5509
Share first layer,0.2,pair_predict,Recall,0.4963
Share first layer,0.2,pair_predict,F1 Score,0.5198
Share first layer,0.3,emotion_predict,Precision,0.7511
Share first layer,0.3,emotion_predict,Recall,0.6651
Share first layer,0.3,emotion_predict,F1 Score,0.7052
Share first layer,0.3,cause_predict,Precision,0.6914
Share first layer,0.3,cause_predict,Recall,0.4675
Share first layer,0.3,cause_predict,F1 Score,0.5539
Share first layer,0.3,pair_predict,Precision,0.5649
Share first layer,0.3,pair_predict,Recall,0.486
Share first layer,0.3,pair_predict,F1 Score,0.5214
Share first layer,0.4,emotion_predict,Precision,0.7683
